Row,Date,CO
1179,2014-08-19,10
1180,2014-08-20,3
1181,2014-08-23,2
1182,2014-08-24,5
1183,2014-08-25,5
1184,2014-08-26,5
1185,2014-08-30,6
1186,2014-08-31,3
1187,2014-09-01,3
1188,2014-09-02,1
1189,2014-09-03,4
1190,2014-09-06,2
1191,2014-09-07,2
1192,2014-09-08,3
1193,2014-09-09,3
1194,2014-09-10,1
1195,2014-09-13,2
1196,2014-09-14,2
1197,2014-09-15,1
1198,2014-09-17,1
1199,2014-09-20,1
1200,2014-09-21,1
1201,2014-09-22,8
1202,2014-09-23,3
1203,2014-09-24,2
1204,2014-09-27,3
1205,2014-10-01,2
1206,2014-10-04,4
1207,2014-10-06,1
1208,2014-10-07,1
1209,2014-10-11,5
1210,2014-10-12,1
1211,2014-10-14,1
1212,2014-10-15,3
1213,2014-10-18,7
1214,2014-10-19,3
1215,2014-10-20,1
1216,2014-10-21,3
1217,2014-10-22,4
1218,2014-10-26,2
1219,2014-10-27,7
1220,2014-10-28,1
1221,2014-10-29,8
1222,2014-11-01,6
1223,2014-11-02,1
1224,2014-11-05,1
1225,2014-11-08,2
1226,2014-11-09,3
1227,2014-11-10,3
1228,2014-11-11,2
1229,2014-11-12,4
1230,2014-11-15,3
1231,2014-11-16,5
1232,2014-11-17,9
1233,2014-11-18,5
1234,2014-11-19,2
1235,2014-11-22,4
1236,2014-11-23,5
1237,2014-11-24,3
1238,2014-11-25,6
1239,2014-11-26,2
1240,2014-11-29,5
1241,2014-11-30,5
1242,2014-12-01,5
1243,2014-12-02,4
1244,2014-12-06,5
